,wol,san,bre,lav,pol,ron,lij,bua,heb,xcl,rus,myv,sah,kat,vep,bul,eus,hbo,grc,ell,kxh,spa,fin,aln,krl,gle,swe,kpv,slv,koi,ita,azz,apu,est,hun,deu,isl,por,arb,quc,mar,fra,ukr,cym,hbs,glg,fao,uzb,lit,ota,ces,nds,bor,olo,hit,uig,tam,mdf,kmr,sms,sme,abk,sqi,xnr,kaz,nhi,hyw,tur,hin,amh,mkd,slk,kir,bel,yrl,fas,eng,cat,xpg,lat,fro,nld,ttc,frm,hye,orv,hsb,bho,chu,got
bel,25.0,5.0,34.0,239.0,248.0,250.0,6.0,80.0,46.0,1.0,288.0,217.0,10.0,215.0,97.0,297.0,6.0,34.0,46.0,267.0,7.0,209.0,262.0,5.0,4.0,2.0,103.0,222.0,240.0,8.0,215.0,27.0,3.0,264.0,165.0,188.0,175.0,214.0,111.0,99.0,21.0,126.0,305.0,88.0,247.0,50.0,50.0,16.0,242.0,92.0,254.0,186.0,13.0,4.0,1.0,52.0,4.0,25.0,7.0,13.0,112.0,14.0,115.0,1.0,67.0,8.0,191.0,82.0,160.0,3.0,8.0,253.0,2.0,870.0,3.0,91.0,146.0,226.0,3.0,44.0,183.0,240.0,17.0,50.0,247.0,51.0,131.0,1.0,13.0,12.0
yrl,12.0,8.0,17.0,4.0,4.0,0.0,8.0,7.0,12.0,3.0,4.0,6.0,11.0,3.0,4.0,5.0,7.0,14.0,11.0,3.0,6.0,1.0,5.0,8.0,6.0,10.0,15.0,3.0,5.0,15.0,3.0,25.0,17.0,2.0,7.0,2.0,21.0,4.0,10.0,6.0,8.0,10.0,6.0,10.0,1.0,12.0,8.0,8.0,7.0,4.0,7.0,6.0,19.0,10.0,7.0,1.0,5.0,16.0,7.0,8.0,8.0,12.0,15.0,3.0,6.0,26.0,7.0,13.0,1.0,4.0,11.0,3.0,3.0,3.0,870.0,6.0,6.0,3.0,9.0,8.0,3.0,3.0,14.0,8.0,7.0,4.0,7.0,5.0,10.0,7.0
fas,5.0,6.0,28.0,90.0,94.0,102.0,5.0,18.0,64.0,8.0,107.0,72.0,14.0,113.0,30.0,122.0,5.0,18.0,37.0,97.0,15.0,90.0,121.0,18.0,10.0,4.0,73.0,78.0,89.0,14.0,85.0,10.0,7.0,85.0,100.0,67.0,83.0,92.0,108.0,59.0,39.0,90.0,103.0,42.0,81.0,63.0,44.0,19.0,81.0,47.0,96.0,66.0,5.0,5.0,10.0,41.0,31.0,6.0,19.0,5.0,52.0,3.0,72.0,11.0,32.0,12.0,77.0,92.0,149.0,23.0,21.0,105.0,9.0,91.0,6.0,870.0,82.0,78.0,8.0,22.0,53.0,87.0,7.0,39.0,126.0,42.0,77.0,5.0,10.0,7.0
eng,16.0,5.0,16.0,208.0,258.0,286.0,5.0,50.0,55.0,3.0,274.0,157.0,17.0,195.0,101.0,247.0,5.0,28.0,14.0,211.0,0.0,270.0,216.0,6.0,15.0,3.0,85.0,135.0,241.0,6.0,257.0,6.0,9.0,242.0,126.0,286.0,173.0,236.0,101.0,92.0,23.0,98.0,236.0,38.0,276.0,43.0,49.0,12.0,166.0,66.0,262.0,188.0,10.0,4.0,3.0,55.0,16.0,8.0,15.0,19.0,86.0,1.0,67.0,4.0,45.0,7.0,148.0,51.0,177.0,11.0,12.0,216.0,21.0,146.0,6.0,82.0,870.0,209.0,3.0,21.0,154.0,284.0,7.0,44.0,157.0,44.0,109.0,5.0,5.0,4.0
cat,17.0,8.0,30.0,309.0,339.0,397.0,11.0,78.0,46.0,0.0,351.0,218.0,3.0,239.0,109.0,354.0,4.0,23.0,40.0,313.0,2.0,436.0,274.0,10.0,3.0,3.0,111.0,210.0,342.0,7.0,354.0,13.0,9.0,330.0,173.0,370.0,190.0,309.0,110.0,93.0,21.0,106.0,327.0,62.0,367.0,47.0,41.0,15.0,231.0,83.0,363.0,199.0,14.0,11.0,3.0,51.0,5.0,18.0,2.0,10.0,123.0,23.0,126.0,1.0,67.0,13.0,252.0,92.0,221.0,2.0,5.0,244.0,20.0,226.0,3.0,78.0,209.0,870.0,5.0,23.0,194.0,346.0,10.0,43.0,248.0,52.0,162.0,1.0,11.0,7.0
xpg,3.0,4.0,5.0,5.0,5.0,5.0,8.0,7.0,5.0,13.0,3.0,3.0,13.0,5.0,6.0,5.0,18.0,4.0,3.0,2.0,9.0,7.0,4.0,11.0,7.0,5.0,5.0,4.0,8.0,8.0,3.0,5.0,11.0,6.0,8.0,10.0,4.0,2.0,0.0,4.0,8.0,8.0,2.0,8.0,7.0,9.0,15.0,12.0,5.0,6.0,5.0,4.0,5.0,7.0,16.0,11.0,14.0,0.0,16.0,13.0,7.0,1.0,8.0,15.0,8.0,1.0,4.0,21.0,2.0,13.0,11.0,14.0,13.0,3.0,9.0,8.0,3.0,5.0,870.0,9.0,3.0,7.0,11.0,5.0,5.0,12.0,3.0,15.0,7.0,13.0
lat,6.0,21.0,10.0,31.0,25.0,30.0,10.0,7.0,29.0,11.0,28.0,22.0,7.0,26.0,3.0,33.0,10.0,38.0,75.0,36.0,12.0,20.0,34.0,12.0,10.0,9.0,16.0,31.0,27.0,12.0,27.0,17.0,16.0,21.0,19.0,13.0,25.0,28.0,20.0,19.0,12.0,35.0,40.0,16.0,36.0,9.0,11.0,2.0,32.0,22.0,36.0,37.0,8.0,2.0,6.0,6.0,6.0,24.0,13.0,10.0,13.0,4.0,16.0,4.0,16.0,6.0,16.0,19.0,14.0,12.0,12.0,52.0,2.0,44.0,8.0,22.0,21.0,23.0,9.0,870.0,16.0,23.0,6.0,28.0,28.0,27.0,24.0,5.0,9.0,14.0
fro,25.0,13.0,13.0,214.0,226.0,209.0,4.0,103.0,20.0,3.0,221.0,252.0,5.0,187.0,114.0,217.0,4.0,26.0,20.0,194.0,6.0,217.0,208.0,18.0,0.0,3.0,46.0,233.0,220.0,12.0,256.0,13.0,3.0,234.0,100.0,223.0,148.0,211.0,102.0,96.0,33.0,49.0,198.0,54.0,204.0,20.0,43.0,8.0,170.0,68.0,236.0,285.0,9.0,4.0,2.0,76.0,9.0,26.0,3.0,18.0,112.0,15.0,99.0,2.0,59.0,8.0,160.0,90.0,177.0,23.0,16.0,182.0,6.0,183.0,3.0,53.0,154.0,194.0,3.0,16.0,870.0,209.0,11.0,45.0,175.0,57.0,118.0,2.0,4.0,6.0
nld,19.0,11.0,16.0,367.0,539.0,555.0,4.0,114.0,35.0,4.0,502.0,248.0,5.0,269.0,146.0,487.0,4.0,19.0,20.0,328.0,2.0,508.0,342.0,2.0,2.0,1.0,144.0,225.0,453.0,3.0,432.0,12.0,7.0,434.0,168.0,557.0,253.0,346.0,103.0,99.0,22.0,105.0,424.0,66.0,533.0,34.0,66.0,25.0,281.0,73.0,510.0,269.0,3.0,2.0,2.0,57.0,8.0,20.0,2.0,18.0,114.0,1.0,128.0,5.0,83.0,2.0,265.0,83.0,254.0,2.0,2.0,329.0,35.0,240.0,3.0,87.0,284.0,346.0,7.0,23.0,209.0,870.0,3.0,43.0,256.0,45.0,186.0,4.0,4.0,4.0
ttc,10.0,10.0,7.0,5.0,4.0,3.0,14.0,11.0,12.0,10.0,1.0,8.0,8.0,9.0,1.0,0.0,11.0,14.0,14.0,10.0,11.0,3.0,7.0,10.0,9.0,10.0,9.0,9.0,5.0,13.0,5.0,14.0,9.0,6.0,4.0,3.0,9.0,6.0,8.0,5.0,12.0,11.0,5.0,18.0,4.0,12.0,7.0,3.0,9.0,4.0,4.0,7.0,19.0,10.0,14.0,1.0,3.0,11.0,13.0,12.0,12.0,10.0,21.0,2.0,6.0,12.0,2.0,11.0,3.0,14.0,4.0,2.0,1.0,17.0,14.0,7.0,7.0,10.0,11.0,6.0,11.0,3.0,870.0,4.0,5.0,11.0,10.0,7.0,12.0,13.0
frm,12.0,6.0,18.0,45.0,43.0,46.0,11.0,17.0,24.0,9.0,42.0,46.0,8.0,50.0,34.0,44.0,11.0,13.0,21.0,44.0,5.0,42.0,50.0,14.0,8.0,9.0,30.0,50.0,43.0,14.0,51.0,10.0,17.0,50.0,51.0,39.0,43.0,47.0,61.0,46.0,19.0,35.0,44.0,35.0,45.0,24.0,28.0,3.0,46.0,38.0,43.0,50.0,6.0,9.0,10.0,24.0,8.0,6.0,10.0,6.0,53.0,12.0,26.0,11.0,6.0,9.0,44.0,34.0,42.0,12.0,8.0,51.0,16.0,50.0,8.0,39.0,44.0,43.0,5.0,28.0,45.0,43.0,4.0,870.0,46.0,38.0,50.0,17.0,17.0,6.0
hye,24.0,10.0,45.0,268.0,257.0,266.0,11.0,78.0,55.0,3.0,281.0,228.0,10.0,304.0,89.0,305.0,5.0,21.0,43.0,351.0,15.0,244.0,291.0,8.0,6.0,2.0,159.0,222.0,273.0,7.0,244.0,11.0,4.0,270.0,206.0,232.0,213.0,234.0,131.0,99.0,45.0,128.0,290.0,63.0,272.0,44.0,47.0,15.0,243.0,82.0,273.0,203.0,4.0,7.0,9.0,42.0,16.0,24.0,10.0,10.0,122.0,8.0,118.0,10.0,67.0,5.0,395.0,116.0,245.0,12.0,17.0,254.0,12.0,247.0,7.0,126.0,157.0,248.0,5.0,28.0,175.0,256.0,5.0,46.0,870.0,46.0,139.0,4.0,11.0,5.0
orv,9.0,11.0,33.0,46.0,42.0,50.0,18.0,16.0,26.0,4.0,44.0,48.0,7.0,46.0,34.0,46.0,0.0,14.0,55.0,58.0,13.0,47.0,44.0,11.0,9.0,6.0,22.0,47.0,50.0,11.0,47.0,19.0,11.0,45.0,43.0,42.0,43.0,47.0,54.0,49.0,15.0,36.0,47.0,40.0,46.0,21.0,25.0,2.0,45.0,43.0,43.0,45.0,10.0,7.0,3.0,20.0,6.0,13.0,6.0,5.0,52.0,16.0,25.0,3.0,16.0,13.0,42.0,26.0,44.0,10.0,7.0,53.0,3.0,51.0,4.0,42.0,44.0,52.0,12.0,27.0,57.0,45.0,11.0,38.0,46.0,870.0,46.0,3.0,13.0,26.0
hsb,10.0,11.0,24.0,174.0,201.0,195.0,5.0,55.0,22.0,4.0,158.0,128.0,4.0,131.0,79.0,181.0,7.0,19.0,38.0,142.0,5.0,179.0,145.0,10.0,8.0,3.0,46.0,123.0,187.0,10.0,174.0,16.0,7.0,179.0,95.0,185.0,120.0,132.0,94.0,87.0,14.0,54.0,169.0,48.0,196.0,31.0,57.0,17.0,130.0,62.0,188.0,131.0,9.0,5.0,7.0,36.0,6.0,6.0,3.0,8.0,94.0,7.0,68.0,5.0,28.0,14.0,122.0,70.0,117.0,8.0,9.0,164.0,6.0,131.0,7.0,77.0,109.0,162.0,3.0,24.0,118.0,186.0,10.0,50.0,139.0,46.0,870.0,14.0,5.0,6.0
bho,7.0,8.0,4.0,3.0,4.0,1.0,4.0,5.0,4.0,9.0,5.0,0.0,15.0,3.0,0.0,3.0,17.0,4.0,4.0,1.0,5.0,3.0,3.0,12.0,9.0,12.0,2.0,1.0,3.0,9.0,2.0,4.0,7.0,1.0,5.0,2.0,6.0,3.0,7.0,3.0,6.0,3.0,6.0,3.0,2.0,11.0,12.0,12.0,4.0,5.0,3.0,2.0,9.0,15.0,15.0,7.0,14.0,2.0,6.0,20.0,4.0,4.0,5.0,10.0,2.0,6.0,4.0,8.0,5.0,9.0,14.0,3.0,15.0,1.0,5.0,5.0,5.0,1.0,15.0,5.0,2.0,4.0,7.0,17.0,4.0,3.0,14.0,870.0,10.0,12.0
chu,10.0,5.0,13.0,6.0,1.0,7.0,17.0,4.0,13.0,11.0,2.0,2.0,4.0,11.0,1.0,10.0,10.0,17.0,12.0,9.0,11.0,7.0,10.0,11.0,7.0,8.0,9.0,4.0,7.0,20.0,4.0,10.0,17.0,5.0,9.0,2.0,7.0,7.0,9.0,11.0,12.0,21.0,15.0,7.0,4.0,17.0,12.0,3.0,10.0,9.0,3.0,9.0,15.0,15.0,12.0,4.0,1.0,11.0,11.0,6.0,11.0,13.0,8.0,7.0,7.0,13.0,6.0,6.0,5.0,9.0,10.0,5.0,4.0,13.0,10.0,10.0,5.0,11.0,7.0,9.0,4.0,4.0,12.0,17.0,11.0,13.0,5.0,10.0,870.0,6.0
got,16.0,7.0,11.0,7.0,1.0,3.0,7.0,1.0,11.0,5.0,4.0,9.0,2.0,4.0,4.0,6.0,9.0,11.0,19.0,8.0,18.0,13.0,12.0,12.0,9.0,3.0,10.0,8.0,6.0,4.0,5.0,6.0,17.0,13.0,6.0,3.0,7.0,5.0,16.0,6.0,3.0,10.0,5.0,12.0,5.0,10.0,8.0,3.0,13.0,8.0,3.0,8.0,7.0,8.0,5.0,4.0,4.0,10.0,2.0,6.0,7.0,14.0,13.0,5.0,12.0,7.0,4.0,5.0,2.0,9.0,6.0,4.0,5.0,12.0,7.0,7.0,4.0,7.0,13.0,14.0,6.0,4.0,13.0,6.0,5.0,26.0,6.0,12.0,6.0,870.0
